(0.0009334461826, 1)
(0.0009312076483, 1)
(0.0009336870069, 1)
(0.0009336618276, 1)
(0.0009336874041, 1)
(0.0009336243596, 1)
(0.0009336372385, 1)
(0.0009336466156, 1)
(0.0009321389108, 1)
(0.0009331677927, 1)
(0.0009336813667, 1)
(0.0009336313895, 1)
(0.0009336003831, 1)
(0.000933371902, 1)
(0.0009307135471, 912)
(0.0009336357799, 1)
(0.0009336332018, 3)
(0.0009336327236, 2)
(0.0009336345494, 2)
(0.000933634114, 3)
(0.000930727088, 1)
(0.0009336645348, 1)
(0.0009337723079, 1)
(0.000933633665, 1)
(0.0009336696557, 1)
(0.0009336062365, 1)
(0.0009336379455, 1)
(0.0009336070943, 2)
(0.000933620822, 1)
(0.0009336212382, 1)
(0.0009336210332, 1)
(0.0009336066719, 1)
(0.0009335787691, 1)
(0.0009336075043, 1)
(0.0009339707418, 1)
(0.000933662851, 5)
(0.0009336349726, 4)
(0.0009336107132, 1)
(0.0009337207761, 1)
(0.0009336765861, 1)
(0.0009336907818, 1)
(0.0009336695658, 1)
