(0.0, 824)
(0.01, 1)
(0.25, 1)
(0.29, 1)
(0.3, 1)
(0.33, 1)
(0.35, 1)
(0.4, 1)
(0.4, 1)
(0.45, 1)
(0.45, 1)
(0.5, 6)
(0.51, 1)
(0.53, 1)
(0.58, 1)
(0.6, 1)
(0.6, 2)
(0.63, 1)
(0.65, 1)
(0.67, 1)
(0.69, 1)
(0.69, 1)
(0.7, 1)
(0.71, 1)
(0.71, 1)
(0.72, 1)
(0.73, 1)
(0.74, 2)
(0.75, 1)
(0.75, 1)
(0.76, 1)
(0.76, 3)
(0.78, 1)
(0.78, 1)
(0.78, 1)
(0.8, 1)
(0.8, 1)
(0.82, 1)
(0.82, 1)
(0.83, 1)
(0.83, 3)
(0.83, 4)
(0.84, 1)
(0.85, 1)
(0.85, 2)
(0.85, 1)
(0.86, 4)
(0.88, 1)
(0.91, 1)
(0.93, 5)
(0.95, 3)
(1.0, 67)
